가가,종가
"87,800","85,400"
"88,700","85,700"
"82,800","91,500"
"85,000","81,900"
"82,600","83,800"
"85,800","81,000"
"79,000","83,000"
"79,400","77,400"
"78,900","78,500"
"76,800","77,700"
"75,800","76,300"
"76,600","76,100"
"76,500","77,200"
"81,700","75,900"
"86,500","82,500"
"88,600","83,300"
"78,000","85,600"
"73,000","74,900"
"76,100","75,100"
"69,400","73,200"
"63,500","68,000"
"65,900","64,700"
"68,300","67,600"
"71,200","67,900"
"63,700","68,700"
"68,700","65,800"
"59,600","59,500"
"62,600","61,200"
"61,900","60,200"
"64,900","65,500"
"63,500","67,200"
"69,800","67,000"
"68,900","69,700"
"73,100","68,200"
"78,900","76,500"
"82,900","79,900"
"85,200","85,000"
"88,500","85,200"
"89,400","87,000"
"91,500","90,300"
"89,600","90,400"
"88,600","88,500"
"87,600","88,400"
"88,700","87,100"
"89,700","87,800"
"91,700","91,000"
"87,400","90,400"
"83,000","86,100"
"86,000","87,400"
"86,100","87,400"
"91,100","87,300"
"91,200","91,000"
"89,500","90,200"
"95,100","93,500"
"103,500","100,000"
"99,500","100,400"
"98,600","100,200"
"101,800","100,900"
"108,500","105,900"
"109,000","107,900"
"101,800","107,000"
"100,700","98,400"
"101,400","100,900"
"101,500","100,500"
"100,000","99,700"
"98,600","98,600"
"100,900","99,700"
"101,600","99,600"
"109,300","106,000"
"113,300","108,300"
"107,600","109,000"
"108,400","106,100"
"108,200","106,000"
"108,000","113,200"
"123,200","120,600"
"124,800","121,900"
"114,900","126,100"
"109,000","113,600"
"114,300","108,100"
"107,000","112,500"
"109,200","106,500"
"106,800","105,400"
"108,200","106,500"
"112,100","106,900"
"115,500","112,900"
"115,500","115,500"
"98,700","115,800"
"103,000","101,300"
"95,900","99,500"
"87,400","93,300"
"82,100","87,100"
"83,000","82,500"
"82,000","83,200"
"86,100","82,500"
"88,500","84,700"
"80,600","86,700"
"85,100","79,800"
"82,200","84,900"
"86,500","86,900"
"84,500","86,700"
"84,600","83,800"
"83,600","83,000"
"82,700","83,800"
"70,600","80,900"
"70,500","71,000"
"70,000","70,100"
"73,700","72,300"
"75,300","74,400"
"72,900","74,100"
"72,700","74,900"
"75,000","72,300"
"76,300","74,600"
"76,000","76,900"
"80,700","76,600"
"84,200","80,700"
"84,000","84,200"
"82,000","83,400"
"81,000","80,700"
"83,100","81,700"
"80,600","80,800"
"81,400","80,600"
"80,700","81,700"
"82,100","81,100"
"84,700","82,100"
"86,200","84,700"
"92,500","88,100"
"93,500","94,200"
"94,300","92,500"
"97,500","93,100"
"94,700","95,500"
"93,000","95,600"
"89,800","92,800"
"94,800","92,000"
"94,900","96,300"
"95,000","92,600"
"97,800","95,500"
"98,500","97,800"
"99,300","98,200"
"98,800","101,500"
"103,400","98,800"
"104,900","101,500"
"113,600","104,200"
"113,000","116,300"
"107,400","108,700"
"116,000","112,000"
"110,200","113,500"
"112,200","109,500"
"109,500","110,700"
"110,600","107,400"
"109,000","110,800"
"107,900","107,400"
"105,400","107,900"
"111,000","108,300"
"114,200","113,000"
"113,600","114,200"
"109,200","106,600"
"102,000","105,600"
"99,300","101,400"
"99,500","100,300"
"97,900","96,200"
"101,300","99,500"
"102,400","101,400"
"96,000","96,300"
"99,100","96,400"
"93,100","97,600"
"99,400","96,500"
"102,100","99,800"
"100,000","101,000"
"111,100","108,600"
"114,100","111,400"
"112,300","114,500"
"114,000","111,200"
"116,000","122,800"
"113,200","115,100"
"120,200","115,400"
"117,400","117,800"
"125,600","120,700"
"123,000","124,800"
"128,900","125,500"
"128,000","124,900"
"123,700","127,700"
"119,300","118,500"
"117,100","113,200"
"109,100","114,200"
"110,900","108,500"
"103,100","104,900"
"106,400","107,900"
"107,500","107,600"
"112,500","102,600"
"119,100","115,400"
"137,400","127,300"
"127,500","131,200"
"135,200","128,700"
"138,900","137,400"
"135,700","137,500"
"138,000","135,500"
"142,600","143,400"
"150,400","145,500"
"149,900","145,400"
"153,800","151,000"
"149,500","153,500"
"168,000","159,400"
"159,600","168,100"
"161,300","157,900"
"157,000","160,500"
"164,600","161,000"
"164,700","162,400"
"165,200","164,100"
"166,200","162,500"
"159,000","165,400"
"171,600","160,200"
"167,100","166,800"
"170,900","168,600"
"171,500","170,800"
"173,700","172,300"
"176,500","173,700"
"175,500","179,800"
"167,300","172,900"
"178,200","175,400"
"175,500","180,300"
"177,400","179,300"
"181,200","177,000"
"182,200","179,500"
"179,200","180,100"
"190,200","179,900"
"175,900","189,000"
"159,300","173,900"
"161,900","159,300"
"159,700","160,000"
"155,800","156,800"
"151,900","155,800"
"147,200","148,600"
"158,100","146,700"
"163,600","161,700"
"166,900","165,300"
"166,400","169,200"
"157,100","163,000"
"151,000","152,200"
"146,600","147,700"
"152,000","146,400"
"139,600","147,300"
"142,700","140,200"
"140,000","141,300"
"144,200","139,900"
"147,900","144,100"
"140,100","141,800"
"140,200","139,700"
"141,600","139,100"
"140,100","141,600"
"136,000","140,800"
"134,500","136,500"
"135,500","130,000"
"132,100","133,000"
"136,800","135,000"
"139,800","137,100"
"141,900","137,200"
"139,000","136,500"
"137,100","142,600"
"132,000","131,400"
"132,100","127,100"
"139,200","136,400"
"135,500","142,600"
"142,500","136,300"
"143,000","140,300"
"144,900","146,300"
"149,700","145,500"
"134,900","141,700"
"132,000","132,900"
"137,900","132,500"
"131,400","135,700"
"148,600","137,300"
"141,300","144,900"
"145,000","145,500"
"134,100","142,300"
"134,400","133,700"
"115,400","134,000"
"110,300","114,400"
"99,000","112,500"
"95,700","97,400"
"94,700","93,800"
"95,100","93,800"
"94,200","93,100"
"96,500","93,400"
"97,000","98,300"
"97,000","96,200"
"99,000","98,900"
"102,000","100,100"
"97,700","98,100"
"94,700","97,400"
"102,600","100,100"
"101,400","98,700"
"94,300","101,400"
"96,000","94,800"
"87,900","95,400"
"87,700","84,800"
"82,100","90,100"
"76,700","82,700"
"74,000","77,700"
"79,100","73,800"
"75,700","76,400"
"72,700","71,600"
"75,600","74,500"
"74,800","74,500"
"75,500","75,400"
"80,100","75,500"
"79,400","79,000"
