시가,종가
"59,800","57,900"
"61,000","59,100"
"62,000","59,500"
"63,500","62,800"
"63,500","64,000"
"59,700","62,200"
"61,600","60,300"
"63,000","62,700"
"61,200","63,000"
"60,000","60,200"
"60,200","59,900"
"59,100","60,200"
"57,700","59,100"
"56,600","60,000"
"53,400","56,200"
"53,000","52,900"
"54,500","52,600"
"55,200","53,500"
"55,600","55,900"
"57,200","56,500"
"55,100","57,000"
"54,100","54,100"
"54,700","55,700"
"56,200","54,800"
"50,200","55,000"
"51,600","51,700"
"45,700","44,650"
"47,950","47,000"
"48,600","46,400"
"55,200","51,900"
"52,900","56,200"
"56,600","54,400"
"58,000","56,500"
"54,400","56,700"
"58,100","55,800"
"55,700","58,300"
"54,400","56,700"
"53,900","54,800"
"54,400","53,300"
"53,600","53,700"
"58,300","56,100"
"58,300","58,800"
"60,000","58,300"
"61,500","59,100"
"55,400","62,800"
"54,600","55,700"
"49,500","53,900"
"45,900","49,350"
"50,000","48,350"
"48,050","50,500"
"49,150","48,900"
"47,950","48,950"
"47,000","47,350"
"45,850","47,950"
"50,100","47,750"
"46,600","50,000"
"45,250","47,000"
"46,100","46,000"
"46,800","47,250"
"50,000","47,350"
"51,500","50,500"
"51,700","51,800"
"48,300","51,900"
"53,000","48,300"
"41,700","54,400"
"40,400","41,850"
"39,800","41,100"
"40,000","39,250"
"36,300","39,450"
"31,100","37,150"
"31,800","30,650"
"31,500","31,550"
"31,400","30,800"
"31,900","32,250"
"33,150","34,050"
"34,550","33,150"
"34,000","34,550"
"37,800","34,050"
"36,950","38,100"
"38,100","37,500"
"37,900","38,100"
"35,200","37,850"
"33,850","35,400"
"32,800","33,550"
"33,650","33,450"
"33,550","33,500"
"30,900","33,550"
"32,400","31,200"
"33,550","31,900"
"31,750","33,050"
"31,700","31,550"
"30,800","31,600"
"30,150","31,150"
"30,900","30,600"
"29,950","30,400"
"29,100","29,550"
"32,400","28,700"
"33,000","31,800"
"35,100","34,100"
"35,850","35,200"
"35,950","35,450"
"33,700","35,500"
"33,200","34,100"
"34,050","32,550"
"31,950","34,400"
"33,650","31,550"
"36,800","34,800"
"36,000","37,000"
"33,850","35,100"
"32,900","34,750"
"33,650","33,050"
"34,600","33,400"
"34,150","34,750"
"36,900","34,450"
"38,750","37,150"
"39,300","39,150"
"37,900","39,200"
"38,600","37,300"
"38,350","39,500"
"39,550","37,450"
"39,800","39,550"
"36,000","39,400"
"38,700","36,700"
"42,300","38,550"
"43,400","41,900"
"44,800","43,700"
"42,800","45,450"
"40,700","42,000"
"44,500","39,950"
"43,100","44,100"
"43,550","43,100"
"41,100","43,050"
"45,200","42,300"
"47,100","44,950"
"44,300","48,200"
"43,300","44,100"
"43,350","43,250"
"41,150","43,200"
"36,900","42,300"
"39,400","36,900"
"39,850","39,400"
"43,350","39,700"
"44,700","42,200"
"43,700","47,300"
"45,000","45,350"
"41,450","44,050"
"41,500","41,100"
"41,950","41,100"
"36,950","40,750"
"34,700","36,950"
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
"36,000","33,300"
"42,700","35,400"
,
,
,
,
,
,
"32,650","34,500"
"32,100","34,100"
